Indicator,Year,Group,Component,Quantity,Indicator value
Phylogenetic diversity,2022,Gymnosperms,already_lost,Length,0
Phylogenetic diversity,2022,Gymnosperms,already_lost,Percent,0
Phylogenetic diversity,2022,Gymnosperms,exp_survival,Length,1048.65774804061
Phylogenetic diversity,2022,Gymnosperms,exp_survival,Percent,0.891192628325058
Phylogenetic diversity,2022,Gymnosperms,potential_loss,Length,128.032582097666
Phylogenetic diversity,2022,Gymnosperms,potential_loss,Percent,0.108807371674942
Phylogenetic diversity,2022,Proteaceae,already_lost,Length,7.5137293903898
Phylogenetic diversity,2022,Proteaceae,already_lost,Percent,0.00526812144614162
Phylogenetic diversity,2022,Proteaceae,exp_survival,Length,1254.4588739593
Phylogenetic diversity,2022,Proteaceae,exp_survival,Percent,0.8795421492901
Phylogenetic diversity,2022,Proteaceae,potential_loss,Length,164.290907696147
Phylogenetic diversity,2022,Proteaceae,potential_loss,Percent,0.115189729263758
Phylogenetic diversity,2022,Tetrapods,already_lost,Length,328.609370892664
Phylogenetic diversity,2022,Tetrapods,already_lost,Percent,0.0142635304499708
Phylogenetic diversity,2022,Tetrapods,exp_survival,Length,21011.3547399158
Phylogenetic diversity,2022,Tetrapods,exp_survival,Percent,0.912013243304064
Phylogenetic diversity,2022,Tetrapods,potential_loss,Length,1698.46750647305
Phylogenetic diversity,2022,Tetrapods,potential_loss,Percent,0.0737232262459655
